,MP,FG,FGA,3P,3PA,FT,FTA,TRB,STL,BLK,TOV,PF,+/-,PTS,Unnamed: 5,Opp
165,34.0,6.0,19.0,0.0,1.0,6.0,7.0,5.0,1.0,0.0,0.0,1.0,11.0,18.0,1,8
166,32.0,9.0,19.0,1.0,4.0,2.0,4.0,7.0,0.0,0.0,1.0,0.0,,21.0,0,11
167,34.0,5.0,16.0,2.0,7.0,4.0,6.0,9.0,0.0,0.0,1.0,3.0,-12.0,16.0,1,22
168,28.0,7.0,15.0,1.0,5.0,0.0,1.0,6.0,0.0,0.0,0.0,1.0,-11.0,15.0,0,9
170,35.0,6.0,14.0,2.0,5.0,3.0,4.0,8.0,3.0,0.0,4.0,3.0,14.0,17.0,0,27
172,31.0,7.0,14.0,2.0,3.0,0.0,0.0,6.0,0.0,0.0,3.0,1.0,19.0,16.0,0,3
173,28.0,1.0,8.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,3.0,1.0,-12.0,2.0,0,5
174,21.0,4.0,13.0,1.0,2.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,-18.0,9.0,1,7
175,28.0,9.0,18.0,0.0,2.0,3.0,5.0,7.0,1.0,1.0,1.0,1.0,10.0,21.0,1,8
176,31.0,6.0,16.0,1.0,4.0,2.0,2.0,9.0,1.0,1.0,2.0,1.0,-6.0,15.0,1,18
177,30.0,8.0,15.0,0.0,3.0,2.0,2.0,5.0,0.0,0.0,6.0,2.0,4.0,18.0,1,9
178,27.0,4.0,13.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,4.0,3.0,7.0,8.0,1,0
179,25.0,4.0,11.0,0.0,2.0,0.0,0.0,5.0,2.0,1.0,1.0,0.0,2.0,8.0,1,5
180,26.0,6.0,10.0,0.0,1.0,1.0,1.0,4.0,0.0,0.0,4.0,1.0,-19.0,13.0,0,24
181,31.0,5.0,12.0,0.0,1.0,0.0,0.0,6.0,2.0,2.0,4.0,1.0,17.0,10.0,0,22
182,24.0,7.0,11.0,0.0,2.0,4.0,5.0,7.0,0.0,2.0,3.0,0.0,20.0,18.0,1,25
183,26.0,8.0,14.0,3.0,3.0,0.0,0.0,6.0,2.0,0.0,3.0,1.0,-3.0,19.0,0,9
184,22.0,4.0,10.0,1.0,2.0,2.0,2.0,5.0,1.0,2.0,0.0,2.0,4.0,11.0,0,9
185,22.0,3.0,6.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,4.0,1.0,12.0,6.0,0,23
186,28.0,4.0,13.0,1.0,3.0,1.0,2.0,6.0,2.0,0.0,2.0,1.0,3.0,10.0,1,3
187,25.0,4.0,12.0,0.0,1.0,2.0,2.0,7.0,0.0,0.0,1.0,4.0,-13.0,10.0,1,21
188,28.0,4.0,8.0,0.0,1.0,2.0,4.0,6.0,0.0,0.0,2.0,1.0,-10.0,10.0,0,17
189,20.0,5.0,10.0,2.0,5.0,2.0,2.0,8.0,1.0,0.0,4.0,2.0,6.0,14.0,1,13
190,16.0,4.0,13.0,2.0,6.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0,10.0,0,6
191,24.0,3.0,11.0,2.0,5.0,0.0,0.0,4.0,1.0,0.0,0.0,3.0,-11.0,8.0,0,10
193,24.0,4.0,12.0,1.0,6.0,0.0,0.0,9.0,3.0,0.0,1.0,2.0,-10.0,9.0,1,9
194,23.0,5.0,11.0,2.0,3.0,0.0,0.0,10.0,1.0,1.0,3.0,1.0,17.0,12.0,1,27
195,28.0,8.0,14.0,2.0,3.0,0.0,0.0,8.0,2.0,1.0,4.0,4.0,10.0,18.0,0,24
196,15.0,2.0,4.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,-7.0,4.0,0,7
197,23.0,6.0,12.0,0.0,4.0,4.0,4.0,12.0,1.0,0.0,1.0,0.0,16.0,16.0,1,14
198,14.0,4.0,5.0,3.0,3.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,2.0,11.0,1,12
200,25.0,4.0,7.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,3.0,21.0,10.0,1,17
201,29.0,3.0,4.0,0.0,0.0,1.0,2.0,6.0,0.0,2.0,2.0,1.0,11.0,7.0,1,19
202,21.0,6.0,10.0,0.0,1.0,0.0,0.0,8.0,1.0,0.0,3.0,1.0,16.0,12.0,0,7
203,26.0,8.0,16.0,4.0,8.0,0.0,0.0,6.0,0.0,0.0,2.0,3.0,4.0,20.0,1,2
204,26.0,8.0,14.0,4.0,7.0,3.0,3.0,8.0,0.0,0.0,3.0,0.0,10.0,23.0,1,1
205,22.0,3.0,7.0,2.0,3.0,1.0,2.0,3.0,1.0,0.0,2.0,1.0,1.0,9.0,0,0
206,23.0,5.0,9.0,0.0,1.0,3.0,4.0,8.0,1.0,1.0,2.0,3.0,-7.0,13.0,0,2
207,26.0,4.0,11.0,1.0,3.0,0.0,0.0,6.0,2.0,0.0,1.0,2.0,22.0,9.0,0,28
